TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
nXclluTmeoLv6CUYsZ2H,9/25/2023,WBB011,Braking,-4.6423,-10.8076
Vkf52J9TkwKokeorg8Sx,9/25/2023,WBB011,Braking,-1.227,-1.1487
sTRdMHDYEkjbq3SUPhcx,9/18/2023,WBB011,Braking,3.0437,3.3077
9n0tpKmSTlLTXDiIE2ft,9/18/2023,WBB011,Braking,0.9937,-2.6042
LUbvbfIiX9EpA1FCHRDU,9/11/2023,WBB011,Braking,3.6548,0.4736
IVGbWZkfBjalzYN3dWpo,9/11/2023,WBB011,Braking,-0.8521,-5.4222
IN7REpEIQyUv6TB7UFO2,10/9/2023,WBB012,Braking,9.9819,11.2938
o2GL6a8AQ1Nlek9ZaebZ,10/9/2023,WBB012,Braking,12.2981,11.3782
ohrB37SGoi9DuDux0iqs,10/2/2023,WBB012,Braking,9.3215,6.5082
9y71OX1mYYDXpl2n1nqK,10/2/2023,WBB012,Braking,3.222,-0.3593
5l0BwOtuOZ4WdmiGHqW4,9/25/2023,WBB012,Braking,1.8293,0.2078
htxWi8y29ZAawOx9eZdo,9/25/2023,WBB012,Braking,5.2115,0.9677
erV27LaNPTHKKDcnehXc,9/18/2023,WBB012,Braking,1.2594,3.112
ldCqn0KEswTkwb8zqVWe,9/18/2023,WBB012,Braking,2.7796,3.26
mISy9mQvOyKxs5BvCALC,9/11/2023,WBB012,Braking,1.5931,1.2745
bzbhlYmwhIauyKPGVfu3,9/11/2023,WBB012,Braking,5.7554,2.6089
GjxsaFDOT0zfijprRvod,10/16/2023,WBB013,Braking,-16.4731,-12.0299
VCsFDMU79VWSoajp2dbd,10/16/2023,WBB013,Braking,-13.7168,-7.9814
3LR9FNf6f7oL5fsLnODp,10/9/2023,WBB013,Braking,-11.5862,-10.6949
5jTBKj6xelDAoQQxY6kN,10/9/2023,WBB013,Braking,-19.1257,-12.0637
FhYiIeKsTMPqkhfrQfSh,10/2/2023,WBB013,Braking,-23.1546,-26.8229
G5TRVFf2mFbCBzZReHmh,10/2/2023,WBB013,Braking,-17.0264,-13.4332
bMhn7FkCnFXnVYSEzbP4,9/25/2023,WBB013,Braking,-7.7909,-0.5085
D1TNO290Pr8ENUw5V3nm,9/25/2023,WBB013,Braking,-6.972,-5.9069
ApJnNVOL49bL8OBTfaRi,9/18/2023,WBB013,Braking,-7.4463,5.7883
5xeZj2XouwV5uT5blDZD,9/18/2023,WBB013,Braking,-20.8397,-10.4319
vddJnNzP6orRLABCRFAW,9/11/2023,WBB013,Braking,-22.8943,-15.3935
aSijxF3breO38i83WLVV,9/11/2023,WBB013,Braking,-14.7733,-7.7605
F7ikjWKt21RpsYz0C1ij,10/16/2023,WBB014,Braking,2.5442,-1.1777
uEOx7QEWzgtoNIOvtZ97,10/16/2023,WBB014,Braking,8.6442,6.3385
3cq40saOQKHV99VP1t9I,10/9/2023,WBB014,Braking,5.274,8.7185
shqb8hpnpV6fbobsktrb,10/9/2023,WBB014,Braking,7.5145,9.2942
6gaIWspbqtXQE6Qoclum,10/2/2023,WBB014,Braking,0.5363,2.2785
jsYkixwfLW2CgPRhStjL,10/2/2023,WBB014,Braking,6.4133,12.1517
UhbIG9RAQ4TNFs5Gc1MO,9/25/2023,WBB014,Braking,9.6128,15.1201
d9ayogvWXCtqoZOU3ql7,9/25/2023,WBB014,Braking,9.2391,13.5961
6HjU9sbVrBbXAJjITr3T,9/18/2023,WBB014,Braking,11.0926,9.6456
LSZbc8CbibXMsS8r7lj9,9/18/2023,WBB014,Braking,13.3925,13.8698
ASkbiUPeLvn6ERt65dHf,9/11/2023,WBB014,Braking,10.4478,12.9208
4fB3AUHaOI4fgx9ONMQa,9/11/2023,WBB014,Braking,11.2371,10.5364
CwDjyT1SXg0erRj2KSgL,10/16/2023,WBB015,Braking,5.5877,9.9683
RfQTwQnLMmqpsQCNuNEt,10/16/2023,WBB015,Braking,13.1118,14.4332
jjTXtZ2JdKGqFa2iu9hD,10/9/2023,WBB015,Braking,6.2998,3.4747
s6txlsp01VFJm15QSjlx,10/9/2023,WBB015,Braking,6.0305,7.4196
QrVMdJZBPaCgbRt0P6Hw,10/2/2023,WBB015,Braking,12.8857,13.5181
5hXIMDd2e12cH8EITNSE,10/2/2023,WBB015,Braking,9.3474,11.3616
ufTMGDF8I0RhecNrouhX,9/25/2023,WBB015,Braking,11.8621,12.4739
xd0fhIzwuqmwINgqcKi3,9/25/2023,WBB015,Braking,10.2421,17.9535
3iECQUVbPaeizYL22Hz6,9/18/2023,WBB015,Braking,8.7392,5.0743
W8gy0NqTSixCCjMeogbp,9/18/2023,WBB015,Braking,4.9296,11.4953
gdYRzSNhbERbAFCWv8Cv,9/11/2023,WBB015,Braking,7.1462,13.028
oQ5h4raFxmStjorLXSEp,9/11/2023,WBB015,Braking,8.2522,11.5689
nUqushvcBFrVb4aQFe59,10/16/2023,WBB016,Braking,2.497,2.0953
fWFOmleVgnz7Q8ebOnXy,10/16/2023,WBB016,Braking,7.256,4.8695
ZPfSxeOPXAnmnPQ69hbF,10/9/2023,WBB016,Braking,4.8935,7.5634
f6ReH0ioOev0ZwmJoRbJ,10/9/2023,WBB016,Braking,2.9611,2.6914
L1BIT4KqR1wGTTjV1Rlk,10/2/2023,WBB016,Braking,6.9428,6.171
qDyV7TelC9va6x7Lj7RC,10/2/2023,WBB016,Braking,6.0971,5.9481
wnV8cdt0gy8GedZBOhwH,9/25/2023,WBB016,Braking,12.469,17.6375
WrmoDJ2in0In0AO4a6ge,9/25/2023,WBB016,Braking,14.2495,11.5977
93xQZljueLoXX8D674qj,9/18/2023,WBB016,Braking,13.3673,21.4316
qo3xNmpVJBCTH56vfot7,9/18/2023,WBB016,Braking,7.8632,10.7805
Lpxwscne1V3FltK7WGQp,9/11/2023,WBB016,Braking,9.7484,12.7267
8nNv4lY5RfKxtiePZgrl,9/11/2023,WBB016,Braking,6.8002,5.918
OgeRnfdA6jZLiissvFPD,10/16/2023,WBB017,Braking,1.9301,2.0249
uP4zPVPcWsZ91d1kFRff,10/16/2023,WBB017,Braking,-2.3683,-3.6637
xrz9B3x2MwsUUgM5cX7q,10/9/2023,WBB017,Braking,-1.5464,-5.1402
aqpIQSxs03zpx14VCTJO,10/9/2023,WBB017,Braking,-2.1652,-4.1056
guInDOXQTswxVXLL1bMb,10/2/2023,WBB017,Braking,-3.7449,-6.4685
vczkw2lzLNMrtVy2Ou9P,10/2/2023,WBB017,Braking,-6.3912,-9.8957
vECKlIZvXcl1SNrsD9XY,9/25/2023,WBB017,Braking,-0.5742,-4.7438
2GDFEIIkSRI9uSuU2N5V,9/25/2023,WBB017,Braking,-0.4537,-2.8228
kfSJLA5KvXWD08AtQxYC,9/18/2023,WBB017,Braking,1.7875,-3.0568
MZHEXlvyzPjnfbTiSVIz,9/18/2023,WBB017,Braking,-2.8886,-2.9995
