TestId,Date,Athlete Code,Stage,L|R Peak Force,L|R Avg. Force
H0dNW5TKMrSio1rFZbe5,10/17/2023,MFB008,Braking,-2.9316,-14.1279
0brhkCSa4bKAgz1PYeIw,10/17/2023,MFB008,Braking,-8.7242,-11.4583
mYwZOZ2t714org2fADHY,10/10/2023,MFB008,Braking,-7.3786,-19.0496
Rao58d5AL6CUo224MPuV,10/10/2023,MFB008,Braking,-1.8216,-12.867
MlLXRpcKsWMW7tF1PhKF,10/3/2023,MFB008,Braking,-15.4639,-17.8388
pRo8ukivlEaSbCIAFt5I,10/3/2023,MFB008,Braking,-10.2484,-14.3831
HOyIvOr3VHC6lXRwQgrL,9/26/2023,MFB008,Braking,-13.5359,-18.7569
0ettku4Smv4SpvbrXwL2,9/26/2023,MFB008,Braking,-2.7514,-7.1849
nNCeWGXjOaoz2xfJmY2t,9/19/2023,MFB008,Braking,-1.378,-12.066
hFEN9I0WOa49KSyRRkh3,9/19/2023,MFB008,Braking,-0.6831,-19.0344
LNwZpS5zynBq1uwdg8zo,9/12/2023,MFB008,Braking,-1.6965,-13.3431
rg8YGoA7sNye4E6k0HKZ,9/12/2023,MFB008,Braking,-8.1709,-9.1631
McAV43VE9ogOvCPXpLOA,8/29/2023,MFB008,Braking,-1.1243,-6.7276
KrPFA4lQ7pQbiyom0J7M,8/29/2023,MFB008,Braking,-7.7913,-14.6784
SWYXMccRhdQxvBJMn5mG,8/29/2023,MFB008,Braking,-4.7923,-17.5176
f1ajHSotde4KiOUtX42P,10/17/2023,MFB009,Braking,1.8519,-8.731
2RDLo29Za2kjDbTQPek9,10/17/2023,MFB009,Braking,7.9,-3.3092
Z2IlbQJJG56ZgK7sCaCt,10/10/2023,MFB009,Braking,4.3071,-1.1771
lkEERcL2PegaSdQ6aH6B,10/10/2023,MFB009,Braking,2.2126,-1.0975
r1k1eFLK4JO6a9qcGi6Y,10/3/2023,MFB009,Braking,0.5415,-2.5097
XuPLkOdUmAruiOZR76EV,10/3/2023,MFB009,Braking,2.231,-5.1066
ILRbpDBGWEDCnw6wSfRE,9/19/2023,MFB009,Braking,-4.4499,-15.8175
Xh5EDIgZKaSduR3R9DN4,9/19/2023,MFB009,Braking,1.5489,-7.4891
QSqghOxpQgWmk6GeJUWz,9/12/2023,MFB009,Braking,6.1003,-2.1914
U4LIpcqfQXznGKZdfowN,9/12/2023,MFB009,Braking,0.2389,-11.1722
bPAf1OedvVPGufwjrGs4,8/29/2023,MFB009,Braking,0.4252,-7.131
kirsf6EauxWFb3frlHuL,8/29/2023,MFB009,Braking,4.8608,-6.8597
y5vQBsciuA81W8tIitNE,8/29/2023,MFB009,Braking,0.6303,-4.4515
Dk5Dh3Ja5wRWjXnOFeV4,10/17/2023,MFB010,Braking,0.1961,-4.6886
N6g2bXIbZxjgbie7rJuM,10/17/2023,MFB010,Braking,-7.4314,-0.8328
zOiqBWvDUnMfjc7GsnvL,10/10/2023,MFB010,Braking,-4.8944,-5.8552
0o7Xi2JW3pQ5FApv1HQk,10/10/2023,MFB010,Braking,-5.2854,-8.0832
klDqzUTSK4tMxv4UPKHa,10/3/2023,MFB010,Braking,0.7423,-6.5703
d3h7yhrSQLCGpXW8nX9K,10/3/2023,MFB010,Braking,-4.5862,-7.719
VQZR9a7a7XJDNAblOgmb,9/26/2023,MFB010,Braking,-2.8183,-4.8445
JcyKmrRIJ2UzikL8XKri,9/26/2023,MFB010,Braking,-0.1527,-3.4776
fgABCU4hUZQ2h888QMxL,9/19/2023,MFB010,Braking,-1.7358,-3.634
sFotHa3zyoeg1OWhfrZ3,9/19/2023,MFB010,Braking,-5.0395,-4.6911
SVHhALE5Fykwuxd5AHm8,9/12/2023,MFB010,Braking,-2.7975,-7.3273
0QEErwz4v4T0SxGB97kw,9/12/2023,MFB010,Braking,-4.3697,-6.4569
Y8tqXduY0Prf3rXq2NE1,8/29/2023,MFB010,Braking,-5.8196,-5.3674
s6bqRL4AweBk3vFE44Sf,8/29/2023,MFB010,Braking,-5.5305,-7.8679
wiTOtNffjqNkysV3mBo2,8/29/2023,MFB010,Braking,-3.8946,-9.7064
WxtJbyJhtJiLvePKpeEx,10/17/2023,MFB011,Braking,-1.4156,2.0623
