"","TestId","Date","Time","Athlete Code","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"176","qo3xNmpVJBCTH56vfot7","9/18/2023",17:30:37,"WBB016","Countermovement Jump",NA,NA,995.742,0.1993,200.6939,-0.1912,9402.9851,-11799.2303,2256,226.5647,1719.806,172.716,2251,226.0626,1920.8807,192.9095,2398,240.8254,0.231,39.6226,0.134,22.9846,0.218,37.3928,0.414,0.583,96.3886,202.7897,649.6795,299.1783,2.1039,-0.6331,-0.9608,1.3305,1.9772,2.1384,-979.9706,-9.6546,-1297.6733,-12.7846,2239.3803,22.0623,37.7511,3831.8403,7.8632,1214,1037,10.7805,952.6045,767.2015,7.5063,1289,1109,7.5997,1033.4312,887.4495,5.7143,4970.1493,4432.8358,19.4851,14.1342,NA,-7148.6358,3292,1103.82,330.6077,18.2868,1947,1345,7.9681,595.8865,507.9334,NA,0.7101,0.3418,229.818,2.2642,0.9496,419.8615,4.1365,1.9979
"177","Lpxwscne1V3FltK7WGQp","9/11/2023",17:29:54,"WBB016","Countermovement Jump",NA,NA,1010.97,0.223,215.5391,-0.2067,13963.6364,-12307.2121,2544,251.6395,1944.5091,192.3409,2544,251.6395,1982.8919,196.1376,2567,253.9146,0.412,55.3763,0.11,14.7849,0.222,29.8387,0.449,0.744,101.9138,217.0202,654.576,318.934,2.1294,-0.639,-0.9939,1.4125,2.0915,2.2303,-1108.6572,-10.7579,-1533.9362,-14.8846,2448.0205,23.7545,38.1626,3932.8494,9.7484,1396,1148,12.7267,1095.9909,848.5182,9.7,1408,1159,10.7015,1097.545,885.3468,4.6875,7309.0909,6654.5455,22.625,19.3337,1450,-5417.5283,2897,1173.4841,286.5565,41.1115,2044,853,8.0939,634.2324,539.2517,14.9928,0.6035,0.2997,213.1205,2.068,0.9889,441.4555,4.2837,2.1059
"178","8nNv4lY5RfKxtiePZgrl","9/11/2023",17:29:41,"WBB016","Countermovement Jump",NA,NA,1011.165,0.2028,205.5905,-0.2238,9727.2727,-10730.3337,2401,237.4489,1740.4545,172.1237,2397,237.0533,1907.5565,188.6494,2428,240.1191,0.3,44.5765,0.143,21.2481,0.23,34.1753,0.412,0.673,103.5869,207.3496,688.101,310.9365,2.0017,-0.6844,-1.0126,1.3588,1.9946,2.1492,-1061.5387,-10.2987,-1341.2961,-13.0128,2269.6842,22.0198,36.2926,3740.8546,6.8002,1280,1117,5.918,921.7273,818.7273,7.1664,1301,1127,9.5542,1044.9043,862.6522,10.4242,5370.6294,4356.6434,11.1524,17.4347,1190,-6347.376,3298,1189.142,326.1584,18.0716,1947,1351,4.7573,622.8563,566.2857,9.0933,0.6122,0.3013,248.1835,2.4078,1.005,439.9175,4.2679,2.0116
"179","OgeRnfdA6jZLiissvFPD","10/16/2023",08:28:08,"WBB017","Countermovement Jump",NA,NA,759.499,0.2604,174.9842,-0.2145,8585.1852,-8944.3502,1919,252.6666,1420.4963,187.0307,1917,252.4032,1540.2578,202.7992,1945,256.0899,0.248,40.7895,0.135,22.2039,0.225,37.0066,0.456,0.608,88.6491,176.6122,538.681,265.2614,1.9923,-0.7586,-1.1567,1.4892,2.2602,2.3942,-959.776,-12.3969,-1257.8465,-16.2469,2013.6281,26.0088,42.3821,3281.2566,1.9301,977,940,2.0249,724.6296,695.8667,0.9769,982,963,0.0127,770.2267,770.0311,4.7455,4496.2963,4088.8889,3.9536,0.0434,NA,-7080.4512,2544,926.2806,334.9576,-12.8145,1109,1435,-11.5874,409.4744,516.8062,NA,0.75,0.4282,191.1815,2.4694,1.145,347.4995,4.4884,2.2812
"180","uP4zPVPcWsZ91d1kFRff","10/16/2023",08:28:02,"WBB017","Countermovement Jump",NA,NA,759.988,0.2461,170.2268,-0.1967,11625,-10519.3962,2069,272.2411,1602.3661,210.841,2069,272.2411,1581.3237,208.0722,2084,274.2149,0.219,40.7063,0.112,20.8178,0.207,38.4758,0.449,0.538,93.6858,171.0355,507.1575,264.7213,1.8256,-0.7612,-1.2103,1.4969,2.1973,2.3427,-1085.1309,-14.007,-1512.6454,-19.5254,2044.9887,26.3969,43.1911,3346.0488,-2.3683,1010,1059,-3.6637,771.8304,830.5357,-2.3992,1017,1067,-2.6554,769.6667,811.657,0.1536,5821.4286,5803.5714,-7.0941,-5.163,NA,-8495.3898,3470,1333.0386,456.5862,-5.0144,1648,1822,-6.001,626.5217,706.5169,NA,0.8346,0.4574,178.8045,2.308,1.2093,328.353,4.2384,2.2077
"181","xrz9B3x2MwsUUgM5cX7q","10/9/2023",17:24:09,"WBB017","Countermovement Jump",NA,NA,759.789,0.2505,171.7012,-0.1641,17921.3483,-14200.6991,2331,306.7957,1827.6292,240.5443,2328,306.4009,1746.2571,229.8345,2358,310.3493,0.245,48.1336,0.089,17.4853,0.175,34.3811,0.448,0.509,94.2148,173.7724,468.5715,267.9872,1.8444,-0.7515,-1.2345,1.4882,2.2169,2.3188,-1233.9205,-15.9317,-1711.1142,-22.093,2222.9301,28.7013,45.1842,3499.5397,-1.5464,1146,1182,-5.1402,866.8427,960.7865,-0.933,1168,1190,-0.537,868.44,877.8171,-10.8464,7988.764,9932.5843,-9.7133,-1.0762,770,-9885.3881,3395,984.4364,446.8346,12.9308,1917,1478,-0.5351,489.5844,494.8519,-1.0566,0.8802,0.4921,161.836,2.0895,1.2165,306.7355,3.9604,2.2437
"182","aqpIQSxs03zpx14VCTJO","10/9/2023",17:24:00,"WBB017","Countermovement Jump",NA,NA,760.602,0.23,164.7193,-0.1496,21333.3333,-16703.9742,2499,328.5555,1852.6543,243.5774,2494,327.8982,1751.2874,230.2502,2528,332.3683,0.223,47.3461,0.081,17.1975,0.167,35.4565,0.434,0.471,87.5777,166.6745,442.8815,254.2522,1.9032,-0.7326,-1.1454,1.501,2.1245,2.2576,-1185.1649,-15.2859,-1659.8322,-21.408,2194.091,28.2987,44.6878,3464.793,-2.1652,1220,1274,-4.1056,888.2963,964.358,-1.8196,1241,1287,-4.0124,840.509,910.7784,0,10666.6667,10666.6667,-7.9313,-7.6905,840,-8937.3331,2818,960.0988,370.496,-13.2009,1223,1595,-5.1087,455.525,504.5738,-9.7207,0.9214,0.4884,149.1865,1.9242,1.1295,293.695,3.788,2.1497
"183","guInDOXQTswxVXLL1bMb","10/2/2023",17:18:16,"WBB017","Countermovement Jump",NA,NA,757.047,0.2494,170.6982,-0.209,9853.6585,-9455.2884,1976,261.0142,1507.4959,199.1284,1976,261.0142,1545.7235,204.178,1981,261.6746,0.265,43.8017,0.123,20.3306,0.217,35.8678,0.452,0.605,91.6907,172.1158,521.2025,263.8065,1.8771,-0.7692,-1.197,1.4491,2.2119,2.3347,-1031.8477,-13.3709,-1387.5866,-17.9807,1970.7983,25.5381,41.9234,3235.2652,-3.7449,951,1025,-6.4685,704.9919,802.5041,-3.685,954,1027,-3.1864,748.235,797.4885,3.7954,5113.8211,4739.8374,-12.2104,-6.171,1030,-5937.7985,3535,924.7476,466.9459,0.5941,1778,1757,-4.0504,443.6456,481.1019,-7.7839,0.7471,0.4122,184.8075,2.3948,1.1882,336.395,4.3591,2.2303
"184","vczkw2lzLNMrtVy2Ou9P","10/2/2023",17:17:58,"WBB017","Countermovement Jump",NA,NA,757.181,0.2363,166.1933,-0.1818,12296.2963,-11471.1757,2085,275.3635,1478.287,195.2356,2081,274.8352,1623.3938,214.3997,2124,280.5142,0.331,52.3734,0.108,17.0886,0.193,30.538,0.441,0.632,77.21,168.2066,473.328,245.4165,2.1786,-0.6808,-1.017,1.4445,2.1532,2.2829,-884.9836,-11.4658,-1179.4578,-15.281,2024.9325,26.2349,43.0545,3323.1456,-6.3912,974,1107,-9.8957,666,812.287,-5.2731,1006,1118,-3.9254,779.8342,843.5596,-5.2711,5824.0741,6472.2222,-18.0403,-7.5645,800,-8188.9766,2359,970.0388,311.5503,2.0772,1204,1155,0.3532,486.7325,483.3062,0.7035,0.6978,0.3739,158.9855,2.0598,1.0003,314.3425,4.0726,2.1793
"185","vECKlIZvXcl1SNrsD9XY","9/25/2023",17:23:00,"WBB017","Countermovement Jump",NA,NA,757.151,0.2498,170.88,-0.1901,12411.215,-11012.5539,2093,276.431,1550.0748,204.7247,2090,276.0348,1599.201,211.213,2096,276.8272,0.278,47.1986,0.107,18.1664,0.204,34.635,0.466,0.589,84.1713,172.8042,492.4495,256.9755,2.053,-0.725,-1.1061,1.4665,2.214,2.3333,-990.2081,-12.8296,-1334.8302,-17.2947,2041.6403,26.4524,42.7895,3302.5562,-0.5742,1039,1051,-4.7438,738.271,811.8037,-0.2863,1045,1051,-0.2921,797.2647,801.9363,7.0783,6644.8598,5766.3551,-9.1444,-0.5746,930,-6909.2215,2852,954.2624,376.6752,-8.4151,1306,1546,-11.3143,423.1473,531.1151,-20.3382,0.7912,0.4242,165.1865,2.1402,1.0906,327.263,4.2402,2.2389
"186","2GDFEIIkSRI9uSuU2N5V","9/25/2023",17:22:50,"WBB017","Countermovement Jump",NA,NA,757.564,0.2513,171.4783,-0.1715,13181.8182,-12847.8694,2204,290.9325,1508.4909,199.1239,2204,290.9325,1680.3226,221.806,2239,295.5526,0.205,40.9182,0.11,21.9561,0.186,37.1257,0.449,0.501,81.8695,172.7151,478.8235,254.5846,2.1096,-0.7147,-1.0669,1.4839,2.2205,2.3285,-940.986,-12.1852,-1232.7881,-15.9639,2152.1684,27.8693,44.1366,3408.3894,-0.4537,1097,1107,-2.8228,732.9545,775.5364,-0.9379,1109,1130,-1.9268,823.9731,856.3495,0.2759,6609.0909,6572.7273,-5.5137,-3.7673,880,-10397.5081,2934,951.5773,387.294,-3.4083,1417,1517,-7.0331,442.3261,509.2511,-13.1454,0.8962,0.5016,165.2015,2.1393,1.0602,313.622,4.0612,2.2366
"187","kfSJLA5KvXWD08AtQxYC","9/18/2023",17:23:46,"WBB017","Countermovement Jump",NA,NA,753.127,0.2534,171.1813,-0.1937,10608.3333,-10396.1232,2014,267.4184,1562.8917,207.5203,2014,267.4184,1592.0147,211.3873,2043,271.269,0.2,38.1679,0.12,22.9008,0.204,38.9313,0.459,0.524,96.5188,172.1251,512.657,268.6439,1.7833,-0.7817,-1.2604,1.4653,2.2298,2.345,-1096.7626,-14.2861,-1493.4525,-19.4533,2043.1251,26.6131,43.0367,3303.985,1.7875,1025,989,-3.0568,757.5583,805.3333,1.1258,1033,1010,0.908,803.2353,788.7794,22.8594,6516.6667,4091.6667,-6.1074,1.7979,890,-9156.9373,3614,951.5831,479.8659,6.3641,1922,1692,12.6378,535.9213,415.6618,22.4583,0.876,0.4836,186.894,2.4344,1.2572,325.763,4.2433,2.242
"188","MZHEXlvyzPjnfbTiSVIz","9/18/2023",17:23:38,"WBB017","Countermovement Jump",NA,NA,753.178,0.2319,163.7776,-0.1635,12873.8739,-13391.4536,2189,290.6351,1432.982,190.2581,2181,289.573,1658.4835,220.1981,2241,297.5392,0.27,47.9574,0.111,19.7158,0.182,32.3268,0.443,0.563,74.7372,165.8411,461.2595,240.5783,2.219,-0.6756,-0.9909,1.4607,2.1332,2.2675,-848.43,-11.0506,-1049.4283,-13.6686,2064.2495,26.8865,43.7516,3359.0989,-2.8886,1059,1122,-2.9995,695,737.982,-2.0973,1097,1144,-4.1412,794.9011,863.5824,-6.788,6000,6873.8739,-5.7929,-7.936,760,-8719.6999,3546,979.2276,470.805,-15.172,1504,2042,-8.4695,448.1461,531.0816,-15.63,0.7869,0.4119,158.34,2.0623,0.9734,302.9195,3.9455,2.16
"189","jm9RokfIBMpVLdiz2GZr","9/11/2023",17:23:19,"WBB017","Countermovement Jump",NA,NA,748.815,0.2579,171.7154,-0.2313,9687.5,-8580.1869,1985,265.0855,1443.5859,192.7827,1986,265.219,1526.3801,203.8394,1985,265.0855,0.277,44.2492,0.128,20.4473,0.221,35.3035,0.472,0.626,88.3057,172.8164,522.4585,261.1221,1.957,-0.7809,-1.162,1.4768,2.2496,2.3651,-987.2882,-12.9342,-1298.7138,-17.0141,1983.5177,25.9855,40.9914,3128.945,-1.9134,974,1012,-6.011,678.4063,765.1797,-1.864,974,1011,-0.1316,762.1855,764.1946,5.9677,5132.8125,4554.6875,-11.4113,-0.2772,1020,-5113.6173,2574,927.2569,343.7431,25.8741,1620,954,4.4902,484.4461,442.8108,8.5875,0.754,0.412,184.154,2.4125,1.1569,338.3045,4.432,2.264
"190","PyMJgVkrrrjC8Wk6Os75","9/11/2023",17:23:10,"WBB017","Countermovement Jump",NA,NA,749.758,0.2601,172.6506,-0.1916,13961.165,-11448.4648,2193,292.4944,1573.7282,209.8981,2193,292.4944,1638.7887,218.5757,2193,292.4944,0.281,48.6159,0.103,17.8201,0.194,33.564,0.474,0.578,84.1444,173.5499,480.3725,257.6944,2.0625,-0.7335,-1.1033,1.5084,2.259,2.3693,-1001.5671,-13.1047,-1381.2471,-18.0725,2140.3968,28.0054,43.5464,3328.1637,-0.0456,1096,1097,-4.1322,754.3495,819.3786,-0.1368,1095,1098,-0.4199,815.9536,822.8351,7.2323,7485.4369,6475.7282,-8.0283,-0.8372,990,-6478.419,4278,932.1263,570.5841,7.8074,2306,1972,7.1266,499.2778,432.8485,13.3092,0.8201,0.45,161.3695,2.1114,1.101,319.003,4.1739,2.2708
"191","vBTRLcYYviTnENp4s4Fn","10/16/2023",08:27:44,"WBB018","Countermovement Jump",NA,NA,627.809,0.2804,150.1085,-0.2076,9410.2564,-8352.2822,1734,276.1987,1142.0256,181.9065,1734,276.1987,1542.6159,245.7142,1956,311.5597,0.256,47.6723,0.117,21.7877,0.164,30.54,0.485,0.537,59.6073,150.8763,386.898,210.4837,2.5312,-0.6365,-0.9341,1.503,2.3456,2.4379,-638.2097,-9.9725,-817.2725,-12.7705,2021.3534,31.5852,51.9878,3327.0544,-2.1915,848,886,2.469,585.1111,556.9145,0.6135,984,972,0.5253,775.3598,767.2561,-10.6267,4205.1282,5205.1282,4.9216,1.0323,560,-15156.4223,5516,904.9911,878.6112,-4.351,2638,2878,7.9158,488.3143,416.6768,14.6792,0.9032,0.5222,133.061,2.0792,0.9314,253.837,3.9664,2.3576
"192","arzkDAWIVccYuDTdgyU8","10/16/2023",08:27:35,"WBB018","Countermovement Jump",NA,NA,628.094,0.2475,141.0975,-0.1018,18600,-20751.6526,2113,336.4146,1199.7,191.0064,2113,336.4146,1731.5391,275.6815,2525,402.0099,0.261,55.6503,0.08,17.0576,0.128,27.2921,0.446,0.469,44.979,142.2815,317.904,187.2604,3.1633,-0.5006,-0.7117,1.5205,2.2038,2.3044,-517.1284,-8.0769,-630.9548,-9.8547,2174.8707,33.9686,55.7418,3568.9177,-0.142,1055,1058,3.305,619.675,580.025,-1.5446,1243,1282,-1.2845,854.6484,876.8906,-3.3602,8987.5,9612.5,6.4954,-2.52,NA,-41905.4609,4911,807.1403,781.8893,-7.2694,2277,2634,-0.8831,400.0064,407.1339,NA,0.951,0.5278,95.2265,1.4873,0.7025,222.6775,3.4779,2.2222
