"","TestId","Date","Time","Athlete Code","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse","L_R_Diff_Peak_Propulsive","L_R_Total_Peak_Propulsive","Peak_Propulsive_Asymmetry_Index","L_R_Diff_Peak_Landing","L_R_Total_Peak_Landing","Peak_Landing_Asymmetry_Index","L_R_Diff_Peak_Braking","L_R_Total_Peak_Braking","Peak_Braking_Asymmetry_Index"
"413","NMSF3q7PMWZye8Hvk2jF","10/3/2023",08:27:42,"MFB031","Countermovement Jump",NA,NA,826.595,0.3941,234.3126,-0.2387,12653.2258,-10047.147,2398,290.1058,1621.9274,196.2179,2392,289.3799,2020.9797,244.4945,2468,298.5743,0.285,47.0297,0.124,20.462,0.197,32.5083,0.561,0.606,97.8312,236.4638,599.632,334.295,2.4171,-0.7933,-1.1773,1.7219,2.7808,2.8589,-1126.6662,-13.3712,-1451.2991,-17.224,3082.789,36.5864,58.9973,4971.1358,0.5853,1203,1189,8.0047,875.879,746.0484,0.7293,1243,1225,1.1572,1022.1827,998.797,-14.5953,5403.2258,7250,14.9753,2.2739,NA,-25867.7918,5607,1174.2927,678.3249,-3.1924,2714,2893,16.2039,682.2868,492.0059,NA,0.9257,0.6504,200.329,2.3775,1.1611,399.303,4.7389,2.8063,18,2468,0.729335494327391,179,5607,3.1924380238987,14,5607,0.249687890137328
"414","3YORJQb5iEFzYQGfFajn","10/3/2023",08:27:36,"MFB031","Countermovement Jump",NA,NA,828.436,0.3702,227.5777,-0.2409,12150.7937,-9806.7305,2362,285.1156,1606.0794,193.8689,2362,285.1156,2007.9948,242.3838,2465,297.5486,0.332,50.9985,0.126,19.3548,0.193,29.6467,0.553,0.651,97.2116,228.8109,590.2935,326.0224,2.3537,-0.7793,-1.1564,1.6879,2.6949,2.7825,-1093.6695,-12.9508,-1421.646,-16.8345,2992.8095,35.4396,57.8897,4888.6747,3.3023,1220,1142,11.3932,894.5317,711.5476,1.0142,1245,1220,0.9787,1013.8238,994.171,-5.6826,5730.1587,6420.6349,20.5609,1.9398,NA,-16926.9348,5309,1157.8974,640.8461,4.7278,2780,2529,21.8315,705.3419,452.5556,NA,0.8495,0.5686,201.5945,2.3872,1.1511,388.699,4.6028,2.7095,25,2465,1.01419878296146,251,5309,4.72782068186099,78,5309,1.4692032397815
"415","WKwD9trAXNsTorQ2LCaS","9/26/2023",08:33:52,"MFB031","Countermovement Jump",NA,NA,830.492,0.3657,226.7816,-0.2659,9056.338,-7991.005,2125,255.8724,1520.3732,183.069,2118,255.0295,1854.8108,223.3388,2209,265.9869,0.358,49.5845,0.142,19.6676,0.222,30.7479,0.545,0.722,97.3146,228.4383,628.052,325.7529,2.3474,-0.7667,-1.1596,1.6458,2.6788,2.772,-1037.5372,-12.2557,-1354.1278,-15.9953,2740.0401,32.3661,53.9834,4570.1066,-0.1889,1057,1061,4.2637,792.5986,727.7746,1.7655,1124,1085,2.4086,949.7432,905.0676,-9.1757,4112.6761,4943.662,8.2523,4.6825,NA,-17400.4337,4372,1144.4097,526.4349,0.1372,2189,2183,4.2847,596.7222,547.6875,NA,0.7548,0.5066,215.2445,2.5425,1.1495,412.8075,4.8762,2.6984,39,2209,1.76550475328203,6,4372,0.137236962488564,4,4372,0.0914913083257091
"416","IhJV64sTF3wjIpqAVi9n","9/26/2023",08:33:45,"MFB031","Countermovement Jump",NA,NA,830.086,0.3623,225.6065,-0.2724,6708.0745,-7052.9763,1921,231.4218,1445.0932,174.0896,1915,230.699,1794.1574,216.1412,2058,247.9261,0.319,44.6154,0.161,22.5175,0.235,32.8671,0.548,0.715,98.4707,227.4938,654.6785,325.9644,2.3103,-0.7537,-1.1765,1.5876,2.6662,2.7568,-989.3758,-11.6925,-1333.2583,-15.7565,2602.3366,30.7546,53.5285,4529.3825,2.0366,977,938,7.3601,775.7267,669.3665,0.6803,1036,1022,0.7934,904.1957,889.9617,-7.037,3118.0124,3590.0621,13.7698,1.5703,NA,-17154.3466,6017,1197.9479,724.8647,9.8554,3305,2712,31.3453,786.724,411.224,NA,0.7664,0.5067,232.1145,2.7431,1.1637,422.564,4.9939,2.6885,14,2058,0.680272108843537,593,6017,9.85540967259432,39,6017,0.648163536646169
"417","lvdp9fa61b8DzUrVw9zW","9/19/2023",08:28:46,"MFB031","Countermovement Jump",NA,NA,829.854,0.3681,227.3462,-0.248,9822.695,-8950.5037,2220,267.5169,1540.6454,185.6526,2214,266.7939,1921.5837,231.5568,2355,283.7849,0.303,46.4012,0.141,21.5926,0.209,32.0061,0.554,0.653,99.5236,229.264,619.2365,328.7876,2.3036,-0.7834,-1.1897,1.6858,2.6875,2.7902,-1074.6871,-12.7043,-1402.1839,-16.5757,2865.9592,33.8795,56.2083,4754.8079,-0.9033,1097,1117,5.356,811.5816,729.0638,-0.552,1171,1184,0.7044,967.5598,954.0239,-7.7256,4531.9149,5290.7801,10.2419,1.3837,NA,-14941.1115,4627,1002.354,557.568,7.2401,2481,2146,10.3585,553.0915,449.2625,NA,0.8484,0.5638,216.533,2.5597,1.1765,402.7035,4.7605,2.7102,13,2355,0.552016985138004,335,4627,7.24011238383402,20,4627,0.432245515452777
"418","x9bUwML7c3JP5wuVaAy3","9/19/2023",08:28:39,"MFB031","Countermovement Jump",NA,NA,829.996,0.3641,226.1436,-0.2474,10192.5926,-8929.7806,2209,266.1459,1562.8222,188.2927,2209,266.1459,1924.2609,231.8398,2374,286.0255,0.321,48.4163,0.135,20.362,0.207,31.2217,0.549,0.663,98.238,227.5998,609.6965,325.8379,2.3168,-0.7665,-1.1688,1.683,2.6729,2.7741,-1064.2922,-12.5792,-1404.6262,-16.6017,2862.1561,33.8288,55.846,4724.966,7.1978,1184,1025,8.7643,849.8963,712.9259,2.6959,1219,1155,1.9893,981.2705,942.9903,3.6337,5281.4815,4911.1111,16.1445,3.9234,NA,-14857.8959,4627,993.1041,557.4726,-2.2693,2261,2366,0.3365,498.2228,494.8813,NA,0.8281,0.5492,210.2875,2.4855,1.1611,399.409,4.7207,2.6901,64,2374,2.69587194608256,105,4627,2.26928895612708,159,4627,3.43635184784958
"419","p2DlAWZiXwtKSm4MMbpA","9/12/2023",08:30:34,"MFB031","Countermovement Jump",NA,NA,832.869,0.3791,231.5523,-0.2761,9605.6338,-7967.2954,2200,264.1472,1582.4085,189.9949,2198,263.907,1857.6696,223.0446,2234,268.2295,0.283,43.4049,0.142,21.7791,0.227,34.816,0.552,0.652,105.7471,233.7067,646.7825,339.4538,2.2101,-0.84,-1.2615,1.6891,2.7274,2.8335,-1175.3653,-13.8441,-1568.1941,-18.4711,2802.7196,33.012,55.6173,4721.9084,0.182,1101,1097,1.287,801.3873,781.0211,0,1117,1117,2.3242,950.4229,907.2467,3.2258,4957.7465,4647.8873,2.5295,4.5225,NA,-0.2382,4826,566.1059,579.4429,-2.4451,2354,2472,31.4547,372.0863,194.0196,NA,0.8466,0.5815,224.0145,2.6386,1.2455,422.768,4.9796,2.7527,0,2234,0,118,4826,2.44508910070452,4,4826,0.0828843762950684
"420","IX6bKTAhkKp1MDARcspQ","9/12/2023",08:30:27,"MFB031","Countermovement Jump",NA,NA,833.219,0.3806,232.1135,-0.2603,9748.2014,-8402.6509,2187,262.476,1580.2086,189.6511,2187,262.476,1899.344,227.9526,2247,269.677,0.318,47.1111,0.139,20.5926,0.218,32.2963,0.557,0.675,103.1481,233.4938,634.101,336.6418,2.2637,-0.79,-1.2212,1.6828,2.7328,2.8326,-1113.8943,-13.1146,-1499.7976,-17.658,2862.1173,33.6975,56.9063,4833.3724,3.5208,1132,1055,2.8404,812.5468,767.6619,2.5367,1152,1095,2.0541,969.1789,930.1651,1.9926,4971.223,4776.9784,5.5291,4.0344,760,-15380.7948,4163,1138.5763,499.6285,-1.6575,2047,2116,15.1378,655.4658,483.1105,26.2343,0.8252,0.5639,218.9655,2.578,1.2144,415.1355,4.8876,2.7491,57,2247,2.53671562082777,69,4163,1.65745856353591,77,4163,1.84962767235167
"421","0jxKNCRWy1STdqy9SXad","8/29/2023",08:44:42,"MFB031","Countermovement Jump",NA,NA,834.73,0.3726,230.0521,-0.2723,10179.1045,-8058.1153,2194,262.8395,1611.5821,193.0663,2194,262.8395,1848.0441,221.3942,2202,263.7979,0.34,48.5021,0.134,19.1155,0.227,32.3823,0.555,0.701,103.4127,231.1043,635.8545,334.517,2.2348,-0.8137,-1.2182,1.6714,2.7036,2.8028,-1150.3914,-13.5197,-1562.0334,-18.3575,2770.0891,32.5549,54.3659,4625.9804,5.0137,1152,1042,7.9999,870.2537,741.3284,4.9046,1155,1047,3.661,957.8502,890.1938,-5.8651,4791.0448,5388.0597,14.8898,7.0697,NA,0,4822,850.4469,577.6718,6.3874,2565,2257,-24.3328,321.7548,528.6921,NA,0.7917,0.5315,215.2665,2.5299,1.2153,420.588,4.9429,2.716,108,2202,4.90463215258856,308,4822,6.38739112401493,110,4822,2.28121111571962
"422","Gd6TVN1QwB24uulq7FgB","8/29/2023",08:44:35,"MFB031","Countermovement Jump",NA,NA,834.011,0.345,221.1893,-0.2099,13034.188,-11316.4018,2375,284.7684,1546.188,185.3918,2363,283.3296,1991.9792,238.8433,2535,303.9528,0.303,49.5098,0.117,19.1176,0.192,31.3725,0.529,0.612,82.5572,223.4974,563.764,306.0546,2.7072,-0.6764,-0.9887,1.6821,2.6017,2.7132,-919.2479,-10.8126,-1161.6548,-13.6639,2907.0557,34.1941,56.1216,4771.2574,-2.8354,1148,1215,0.1614,774.3419,771.8462,-1.3018,1251,1284,0.1041,997.026,994.9531,-11.082,5794.8718,7239.3162,0.4183,0.1904,1710,-16755.6292,4151,966.0175,497.7153,14.3821,2374,1777,13.6139,548.7649,417.2526,23.9628,0.8644,0.5637,180.1365,2.1188,0.9711,383.6275,4.5124,2.6289,33,2535,1.30177514792899,597,4151,14.3820766080463,67,4151,1.61406889906047
"423","FfYmvdErSJtWfrb64VGv","8/29/2023",08:44:28,"MFB031","Countermovement Jump",NA,NA,834.732,0.2952,204.7872,-0.1712,15584.9057,-14604.5308,2501,299.6171,1511.0094,181.0173,2485,297.7003,2044.8765,244.974,2729,326.9313,0.303,52.3316,0.106,18.3074,0.17,29.361,0.491,0.579,70.8554,206.9501,508.1915,277.8055,2.9207,-0.6024,-0.8487,1.6055,2.4067,2.5245,-791.939,-9.3071,-971.7891,-11.4207,2795.509,32.8536,54.5105,4638.2897,2.9376,1279,1206,12.8247,852.3962,658.6132,1.7955,1389,1340,1.0048,1032.7118,1012.1647,-4.1162,7471.6981,8113.2075,22.8723,2.0032,NA,-16036.6444,3423,934.8382,410.0717,37.1896,2348,1075,11.5342,521.3321,413.5062,NA,0.848,0.5099,159.337,1.8726,0.8327,348.8545,4.0998,2.4321,49,2729,1.79552949798461,1273,3423,37.1895997662869,73,3423,2.13263219398189
"424","uyaEWbeqvn176XTQtAMV","10/17/2023",08:35:33,"MFB032","Countermovement Jump",NA,NA,700.68,0.4604,214.6581,-0.3043,7761.5894,-6155.0115,1873,267.3118,1310.106,186.9764,1871,267.0263,1636.0043,233.4881,1884,268.8817,0.324,45.9574,0.151,21.4184,0.23,32.6241,0.615,0.705,91.4333,216.0426,574.435,307.4759,2.3628,-0.8622,-1.2902,1.7783,3.0054,3.1009,-997.8365,-13.9704,-1260.8927,-17.6534,2652.9163,37.1426,65.7075,4693.1662,10.5291,1034,837,12.9346,739.7815,570.3245,8.9172,1026,858,1.1845,827.6913,808.313,7.8498,4185.4305,3576.1589,22.9289,2.3957,NA,-3094.3829,4074,893.058,581.4352,-15.3166,1725,2349,5.176,469.6414,423.4167,NA,0.8723,0.653,197.236,2.7614,1.2801,377.199,5.281,3.0247,168,1884,8.9171974522293,624,4074,15.3166421207658,197,4074,4.83554246440844
"425","nJQgNBwpR6SuEKjQ6jw8","10/17/2023",08:35:26,"MFB032","Countermovement Jump",NA,NA,702.448,0.4326,208.6029,-0.2783,7105.9603,-6374.0712,1774,252.5454,1303.1656,185.5177,1774,252.5454,1669.6204,237.686,1952,277.8853,0.342,48.237,0.151,21.2976,0.216,30.4654,0.601,0.709,90.1654,209.7767,557.7405,299.9421,2.3266,-0.8119,-1.2663,1.715,2.9132,3.0093,-950.5188,-13.2744,-1247.9646,-17.4284,2615.9822,36.5334,66.2098,4740.9702,9.8083,974,800,11.5013,726.5232,576.6424,1.8443,994,958,3.826,866.75,802.8704,23.9515,4403.9735,2701.9868,20.5753,7.3984,NA,-3557.0232,2733,904.1276,389.0679,-5.2323,1295,1438,14.485,517.5454,386.5822,NA,0.8477,0.6101,196.235,2.7405,1.2592,361.5055,5.0486,2.9296,36,1952,1.84426229508197,143,2733,5.23234540797658,174,2733,6.36663007683864
"426","caeYqdo6bCNni5Jb49tC","10/10/2023",07:31:59,"MFB032","Countermovement Jump",NA,NA,685.048,0.4638,210.6595,-0.2933,7214.2857,-6110.1615,1792,261.5875,1288.2792,188.0568,1792,261.5875,1625.1786,237.2357,1859,271.3678,0.294,43.75,0.154,22.9167,0.224,33.3333,0.619,0.672,92.3361,211.4717,562.756,303.8079,2.2902,-0.8691,-1.3245,1.7742,3.0167,3.1123,-993.1198,-14.2216,-1272.1352,-18.2172,2638.4899,37.7836,67.6853,4726.5717,10.6027,991,801,12.0089,721.4935,566.7857,1.1296,940,919,1.9773,828.6563,796.5223,20.6121,4350.6494,2863.6364,21.4032,3.9232,NA,-3363.9062,3282,889.3512,479.0905,-13.1018,1426,1856,9.5683,487.2235,402.1277,NA,0.9211,0.6902,197.8335,2.833,1.3223,364.9225,5.2258,3.0283,21,1859,1.12963959117805,430,3282,13.1017672151127,190,3282,5.78915295551493
